epoch,step,train_loss,validation_accuracy,validation_f1_score,validation_loss
0,32,1.0841681957244873,,,
1,65,1.0460212230682373,,,
2,98,1.017744541168213,,,
3,131,0.9941561818122864,,,
4,164,,0.43888887763023376,0.15283267199993134,1.051738977432251
4,164,0.9749761819839478,,,
5,197,0.9520082473754883,,,
6,230,0.9554640054702759,,,
7,263,0.9408954381942749,,,
8,296,0.9300770163536072,,,
9,329,,0.48222222924232483,0.28037384152412415,0.9962838292121887
9,329,0.9192540049552917,,,
10,362,0.9027776122093201,,,
11,395,0.9039974212646484,,,
12,428,0.9030871987342834,,,
13,461,0.8920113444328308,,,
14,494,,0.4072222113609314,0.06886227428913116,1.0967445373535156
14,494,0.8955341577529907,,,
15,527,0.8828409910202026,,,
16,560,0.9182859063148499,,,
17,593,0.888108491897583,,,
18,626,0.8744539618492126,,,
19,659,,0.6072221994400024,0.4427032172679901,0.8627910614013672
19,659,0.8742157816886902,,,
20,692,0.8603094816207886,,,
21,725,0.8629513382911682,,,
22,758,0.862595796585083,,,
23,791,0.8675587177276611,,,
24,824,,0.617222249507904,0.430020272731781,0.84145188331604
24,824,0.8522152900695801,,,
25,857,0.8537585735321045,,,
26,890,0.853055477142334,,,
27,923,0.8510822653770447,,,
28,956,0.8512784242630005,,,
29,989,,0.6277777552604675,0.4639075994491577,0.8355801105499268
29,989,0.8565940260887146,,,
30,1022,0.8535336852073669,,,
31,1055,0.8525000214576721,,,
32,1088,0.8433195948600769,,,
33,1121,0.8376755714416504,,,
34,1154,,0.6161110997200012,0.395995557308197,0.8379132747650146
34,1154,0.8315521478652954,,,
35,1187,0.8501642346382141,,,
36,1220,0.8334882855415344,,,
37,1253,0.8438563942909241,,,
38,1286,0.8383881449699402,,,
39,1319,,0.5400000214576721,0.2584400475025177,0.9441463947296143
39,1319,0.8339629769325256,,,
40,1352,0.8381345868110657,,,
41,1385,0.8505188822746277,,,
42,1418,0.8371901512145996,,,
43,1451,0.83646160364151,,,
44,1484,,0.5588889122009277,0.3947368562221527,0.8976121544837952
44,1484,0.8821142911911011,,,
45,1517,0.8741946220397949,,,
46,1550,0.8479022979736328,,,
47,1583,0.8375003337860107,,,
48,1616,0.8441656231880188,,,
49,1649,,0.6233333349227905,0.4829443395137787,0.8178302645683289
49,1649,0.8346232175827026,,,
50,1682,0.8313001394271851,,,
51,1715,0.8324783444404602,,,
52,1748,0.8243581056594849,,,
53,1781,0.8106803297996521,,,
54,1814,,0.601111114025116,0.40770789980888367,0.8347253799438477
54,1814,0.8198056817054749,,,
55,1847,0.8186492919921875,,,
56,1880,0.8105287551879883,,,
57,1913,0.7919076085090637,,,
58,1946,0.8066760301589966,,,
59,1979,,0.6416666507720947,0.4777251183986664,0.7812001705169678
59,1979,0.8068509697914124,,,
60,2012,0.7882819771766663,,,
61,2045,0.8351006507873535,,,
62,2078,0.7932341694831848,,,
63,2111,0.8098355531692505,,,
64,2144,,0.5866666436195374,0.3948412835597992,0.8547952175140381
64,2144,0.8181199431419373,,,
65,2177,0.804543673992157,,,
66,2210,0.8019928932189941,,,
67,2243,0.7844662666320801,,,
68,2276,0.7928165793418884,,,
69,2309,,0.57833331823349,0.37358102202415466,0.8749414086341858
69,2309,0.7957144379615784,,,
70,2342,0.8093255162239075,,,
71,2375,0.8110719323158264,,,
72,2408,0.826264500617981,,,
73,2441,0.7911162376403809,,,
74,2474,,0.4377777874469757,0.20969560742378235,1.2006253004074097
74,2474,0.8131446838378906,,,
75,2507,0.801782488822937,,,
76,2540,0.7922344207763672,,,
77,2573,0.8093580603599548,,,
78,2606,0.8010360598564148,,,
79,2639,,0.6438888907432556,0.4508790075778961,0.7733114957809448
79,2639,0.8021700978279114,,,
80,2672,0.7836836576461792,,,
81,2705,0.8012140393257141,,,
82,2738,0.7731665372848511,,,
83,2771,0.7864276766777039,,,
84,2804,,0.644444465637207,0.48830682039260864,0.7642104029655457
84,2804,0.7738063931465149,,,
85,2837,0.7672461867332458,,,
86,2870,0.7922781705856323,,,
87,2903,0.8099865913391113,,,
88,2936,0.8184213638305664,,,
89,2969,,0.5172222256660461,0.32594022154808044,0.9743687510490417
89,2969,0.7767876982688904,,,
90,3002,0.8112066984176636,,,
91,3035,0.8052085041999817,,,
92,3068,0.7727017402648926,,,
93,3101,0.7524374723434448,,,
94,3134,,0.5322222113609314,0.35522663593292236,0.9584519863128662
