epoch,step,train_loss,validation_accuracy,validation_f1_score,validation_loss
0,33,0.6304989457130432,,,
1,67,0.6406216025352478,,,
2,101,0.6147438287734985,,,
3,135,0.6100845336914062,,,
4,169,,0.7949561476707458,0.2378854602575302,0.5617163181304932
4,169,0.5896576642990112,,,
5,203,0.6281105279922485,,,
6,237,0.6105855107307434,,,
7,271,0.5970415472984314,,,
8,305,0.5926555395126343,,,
9,339,,0.8157894611358643,0.2710280418395996,0.5220193266868591
9,339,0.5845403671264648,,,
10,373,0.5856212377548218,,,
11,407,0.5939943790435791,,,
12,441,0.5609264373779297,,,
13,475,0.5828912258148193,,,
14,509,,0.8267543911933899,0.28431373834609985,0.5047663450241089
14,509,0.5803025364875793,,,
15,543,0.5651929378509521,,,
16,577,0.5755526423454285,,,
17,611,0.5655866861343384,,,
18,645,0.5695468783378601,,,
19,679,,0.8300438523292542,0.2871287167072296,0.4930461347103119
19,679,0.5866876244544983,,,
20,713,0.5621547102928162,,,
21,747,0.5474507808685303,,,
22,781,0.5384653806686401,,,
23,815,0.5608988404273987,,,
24,849,,0.8453947305679321,0.3282051384449005,0.48190826177597046
24,849,0.5598856806755066,,,
25,883,0.5677865147590637,,,
26,917,0.5510852932929993,,,
27,951,0.5672072172164917,,,
28,985,0.5526701211929321,,,
29,1019,,0.844298243522644,0.301075279712677,0.48342034220695496
29,1019,0.5433509349822998,,,
30,1053,0.5483017563819885,,,
31,1087,0.5426986813545227,,,
32,1121,0.5474356412887573,,,
33,1155,0.5433180928230286,,,
34,1189,,0.8453947305679321,0.31351351737976074,0.4799361526966095
34,1189,0.5516325235366821,,,
35,1223,0.5271525382995605,,,
36,1257,0.5423329472541809,,,
37,1291,0.5367867946624756,,,
38,1325,0.5271841883659363,,,
39,1359,,0.859649121761322,0.34285715222358704,0.4663659930229187
39,1359,0.5229918956756592,,,
40,1393,0.550627589225769,,,
41,1427,0.5412525534629822,,,
42,1461,0.5212733149528503,,,
43,1495,0.547751784324646,,,
44,1529,,0.8684210777282715,0.34567901492118835,0.4642922282218933
44,1529,0.5319746136665344,,,
45,1563,0.5420063734054565,,,
46,1597,0.548273503780365,,,
47,1631,0.5335651636123657,,,
48,1665,0.5493038892745972,,,
49,1699,,0.8684210777282715,0.34939759969711304,0.4635636508464813
49,1699,0.5194060802459717,,,
