epoch,step,train_loss,validation_accuracy,validation_f1_score,validation_loss
0,32,1.0891159772872925,,,
1,65,1.0670067071914673,,,
2,98,1.0389066934585571,,,
3,131,1.0077627897262573,,,
4,164,,0.49444442987442017,0.13369713723659515,0.9769240021705627
4,164,0.9832932353019714,,,
5,197,0.9543638229370117,,,
6,230,0.9400393962860107,,,
7,263,0.9157528877258301,,,
8,296,0.90925532579422,,,
9,329,,0.5461111068725586,0.3505154550075531,0.890678346157074
9,329,0.8980481624603271,,,
10,362,0.8949071764945984,,,
11,395,0.8857735991477966,,,
12,428,0.8738949298858643,,,
13,461,0.8725783228874207,,,
14,494,,0.6094444394111633,0.30455636978149414,0.8368881344795227
14,494,0.8706635236740112,,,
15,527,0.8620298504829407,,,
16,560,0.841997504234314,,,
17,593,0.8282008171081543,,,
18,626,0.8193277716636658,,,
19,659,,0.6222222447395325,0.38429751992225647,0.8079268336296082
19,659,0.814332127571106,,,
20,692,0.8190592527389526,,,
21,725,0.8176170587539673,,,
22,758,0.8377842903137207,,,
23,791,0.802740752696991,,,
24,824,,0.6061111092567444,0.37755101919174194,0.8338936567306519
24,824,0.8510547280311584,,,
25,857,0.814895749092102,,,
26,890,0.8293489217758179,,,
27,923,0.8031634092330933,,,
28,956,0.7859402298927307,,,
29,989,,0.5888888835906982,0.3930530250072479,0.837683379650116
29,989,0.8036357760429382,,,
30,1022,0.7974509000778198,,,
31,1055,0.7831670045852661,,,
32,1088,0.8150101900100708,,,
33,1121,0.7943711876869202,,,
34,1154,,0.6150000095367432,0.3779366612434387,0.8168233036994934
34,1154,0.7749971151351929,,,
35,1187,0.7972409129142761,,,
36,1220,0.7864875793457031,,,
37,1253,0.8214225172996521,,,
38,1286,0.8201349973678589,,,
39,1319,,0.6600000262260437,0.4135737121105194,0.744917631149292
39,1319,0.7888989448547363,,,
40,1352,0.7892966866493225,,,
41,1385,0.8088494539260864,,,
42,1418,0.7907017469406128,,,
43,1451,0.783717930316925,,,
44,1484,,0.5266666412353516,0.22172948718070984,0.9484571218490601
44,1484,0.8042827844619751,,,
45,1517,0.7704620361328125,,,
46,1550,0.7974168658256531,,,
47,1583,0.7977179288864136,,,
48,1616,0.7965261340141296,,,
49,1649,,0.6200000047683716,0.3432343304157257,0.7916955947875977
49,1649,0.773522675037384,,,
50,1682,0.7799861431121826,,,
51,1715,0.7652539014816284,,,
52,1748,0.774228572845459,,,
53,1781,0.7818382978439331,,,
