epoch,step,train_loss,validation_accuracy,validation_f1_score,validation_loss
0,33,0.6510074734687805,,,
1,67,0.657778799533844,,,
2,101,,0.8092105388641357,0.2557077705860138,0.643257737159729
2,101,0.6550547480583191,,,
3,135,0.6431580185890198,,,
4,169,0.6410917639732361,,,
5,203,,0.8157894611358643,0.2697674334049225,0.6362054944038391
5,203,0.650785505771637,,,
6,237,0.6423678398132324,,,
7,271,0.6554088592529297,,,
8,305,,0.8135964870452881,0.26484018564224243,0.6390805840492249
8,305,0.6638332605361938,,,
9,339,0.6324808597564697,,,
10,373,0.6394491791725159,,,
11,407,,0.8190789222717285,0.2679425776004791,0.6334106922149658
11,407,0.6545868515968323,,,
12,441,0.6469910144805908,,,
13,475,0.6399875283241272,,,
14,509,,0.8267543911933899,0.28431373834609985,0.6311831474304199
14,509,0.6549891233444214,,,
15,543,0.6431785821914673,,,
16,577,0.6325159072875977,,,
17,611,,0.8157894611358643,0.25592416524887085,0.6388809084892273
17,611,0.6468225717544556,,,
18,645,0.6345498561859131,,,
19,679,0.638330340385437,,,
20,713,,0.8311403393745422,0.28140702843666077,0.6246903538703918
20,713,0.6348116993904114,,,
21,747,0.6350172162055969,,,
22,781,0.6274772882461548,,,
23,815,,0.8179824352264404,0.2666666805744171,0.6311841607093811
23,815,0.6258813738822937,,,
24,849,0.6299911141395569,,,
25,883,0.6309980750083923,,,
26,917,,0.8135964870452881,0.2535211145877838,0.6353927254676819
26,917,0.6270492672920227,,,
27,951,0.6385326981544495,,,
28,985,0.6371557712554932,,,
29,1019,,0.8201754093170166,0.26923078298568726,0.627253532409668
29,1019,0.62060546875,,,
30,1053,0.6330335736274719,,,
31,1087,0.6343458890914917,,,
32,1121,,0.8212719559669495,0.2574257552623749,0.6292984485626221
32,1121,0.6275652050971985,,,
33,1155,0.6373469233512878,,,
34,1189,0.6251248717308044,,,
35,1223,,0.8201754093170166,0.26923078298568726,0.633082389831543
35,1223,0.6190579533576965,,,
36,1257,0.6324645280838013,,,
37,1291,0.6385269165039062,,,
38,1325,,0.8267543911933899,0.2626262605190277,0.6383254528045654
38,1325,0.6298720240592957,,,
39,1359,0.6390540599822998,,,
40,1393,0.6306378245353699,,,
41,1427,,0.8256579041481018,0.27586206793785095,0.6317929029464722
41,1427,0.6307052373886108,,,
42,1461,0.6338755488395691,,,
43,1495,0.6260702013969421,,,
44,1529,,0.827850878238678,0.2713567912578583,0.6311612725257874
44,1529,0.6285774111747742,,,
45,1563,0.6298900246620178,,,
46,1597,0.6323012113571167,,,
