epoch,step,train_loss,validation_accuracy,validation_f1_score,validation_loss
0,33,1.1028714179992676,,,
1,67,1.0864849090576172,,,
2,101,1.0705935955047607,,,
3,135,1.0587819814682007,,,
4,169,,0.719298243522644,0.0,1.0063488483428955
4,169,1.030423879623413,,,
5,203,1.0130387544631958,,,
6,237,1.0013140439987183,,,
7,271,0.9776121377944946,,,
8,305,0.9707968235015869,,,
9,339,,0.6578947305679321,0.11009174585342407,1.0896003246307373
9,339,0.9624634981155396,,,
10,373,0.9494146108627319,,,
11,407,0.9614824056625366,,,
12,441,0.9448904395103455,,,
13,475,0.943436324596405,,,
14,509,,0.6776315569877625,0.05298013240098953,0.9486252665519714
14,509,0.9367352724075317,,,
15,543,0.9411250352859497,,,
16,577,0.9463844895362854,,,
17,611,0.9247055053710938,,,
18,645,0.9311721920967102,,,
19,679,,0.6469298005104065,0.09090909361839294,0.9648522734642029
19,679,0.930561900138855,,,
20,713,0.9257259964942932,,,
21,747,0.9191378951072693,,,
22,781,0.9127779006958008,,,
23,815,0.9210129976272583,,,
24,849,,0.6019737124443054,0.0,1.5808387994766235
24,849,0.9223691821098328,,,
25,883,0.9219964742660522,,,
26,917,0.9235134720802307,,,
27,951,0.926559567451477,,,
28,985,0.9218189120292664,,,
29,1019,,0.6315789222717285,0.0683760717511177,1.338821291923523
29,1019,0.9255315661430359,,,
30,1053,0.9115542769432068,,,
31,1087,0.915429413318634,,,
32,1121,0.9166292548179626,,,
33,1155,0.9153007864952087,,,
34,1189,,0.6359649300575256,0.019999999552965164,1.4950079917907715
34,1189,0.9119144082069397,,,
35,1223,0.9277571439743042,,,
36,1257,0.9095094203948975,,,
37,1291,0.9138863682746887,,,
38,1325,0.9280012845993042,,,
39,1359,,0.5043859481811523,0.017241379246115685,1.1100770235061646
39,1359,0.9118616580963135,,,
40,1393,0.9191418290138245,,,
41,1427,0.9229322075843811,,,
42,1461,0.9141615033149719,,,
43,1495,0.9262732267379761,,,
44,1529,,0.6524122953414917,0.12068965286016464,0.9592446684837341
44,1529,0.9069235920906067,,,
45,1563,0.9153817892074585,,,
46,1597,0.9143913388252258,,,
47,1631,0.9141974449157715,,,
48,1665,0.904604971408844,,,
49,1699,,0.6600877046585083,0.10606060922145844,1.153091311454773
49,1699,0.8962154984474182,,,
50,1733,0.9062893986701965,,,
51,1767,0.9015568494796753,,,
52,1801,0.8771936893463135,,,
53,1835,0.8553577661514282,,,
54,1869,,0.6184210777282715,0.028368793427944183,0.9676608443260193
54,1869,0.8578088283538818,,,
55,1903,0.8411605954170227,,,
56,1937,0.8282982110977173,,,
57,1971,0.8120700716972351,,,
58,2005,0.8221622705459595,,,
59,2039,,0.5263158082962036,0.055813953280448914,1.3731907606124878
59,2039,0.804108738899231,,,
60,2073,0.833579421043396,,,
61,2107,0.7884650230407715,,,
62,2141,0.8676336407661438,,,
63,2175,0.812096357345581,,,
64,2209,,0.6546052694320679,0.11538461595773697,1.0520168542861938
64,2209,0.7826554775238037,,,
65,2243,0.760018527507782,,,
66,2277,0.7639552354812622,,,
67,2311,0.8320800065994263,,,
68,2345,0.8211989402770996,,,
69,2379,,0.6480262875556946,0.09756097197532654,1.4267185926437378
69,2379,0.7370020151138306,,,
70,2413,0.708981454372406,,,
71,2447,0.8413182497024536,,,
72,2481,0.8232744932174683,,,
73,2515,0.735759973526001,,,
74,2549,,0.5449561476707458,0.029411764815449715,1.695371150970459
